"Name","Miles_per_Gallon","Cylinders","Displacement","Horsepower","Weight_in_lbs","Acceleration","Year","Origin"
"chevrolet chevelle malibu",18.0,8,307.0,130,3504,12.0,"1970-01-01","USA"
"buick skylark 320",15.0,8,350.0,165,3693,11.5,"1970-01-01","USA"
"plymouth satellite",18.0,8,318.0,150,3436,11.0,"1970-01-01","USA"
"amc rebel sst",16.0,8,304.0,150,3433,12.0,"1970-01-01","USA"
"ford torino",17.0,8,302.0,140,3449,10.5,"1970-01-01","USA"
"ford galaxie 500",15.0,8,429.0,198,4341,10.0,"1970-01-01","USA"
"chevrolet impala",14.0,8,454.0,220,4354,9.0,"1970-01-01","USA"
"plymouth fury iii",14.0,8,440.0,215,4312,8.5,"1970-01-01","USA"
"pontiac catalina",14.0,8,455.0,225,4425,10.0,"1970-01-01","USA"
"amc ambassador dpl",15.0,8,390.0,190,3850,8.5,"1970-01-01","USA"
"chevrolet chevelle concours (sw)",NA,8,350.0,165,4142,11.5,"1970-01-01","USA"
"ford torino (sw)",NA,8,351.0,153,4034,11.0,"1970-01-01","USA"
"plymouth satellite (sw)",NA,8,383.0,175,4166,10.5,"1970-01-01","USA"
"amc rebel sst (sw)",NA,8,360.0,175,3850,11.0,"1970-01-01","USA"
"dodge challenger se",15.0,8,383.0,170,3563,10.0,"1970-01-01","USA"
"plymouth 'cuda 340",14.0,8,340.0,160,3609,8.0,"1970-01-01","USA"
"ford mustang boss 302",NA,8,302.0,140,3353,8.0,"1970-01-01","USA"
"chevrolet monte carlo",15.0,8,400.0,150,3761,9.5,"1970-01-01","USA"
"buick estate wagon (sw)",14.0,8,455.0,225,3086,10.0,"1970-01-01","USA"
"plymouth duster",22.0,6,198.0,95,2833,15.5,"1970-01-01","USA"
"amc hornet",18.0,6,199.0,97,2774,15.5,"1970-01-01","USA"
"ford maverick",21.0,6,200.0,85,2587,16.0,"1970-01-01","USA"
"amc gremlin",21.0,6,199.0,90,2648,15.0,"1970-01-01","USA"
"ford f250",10.0,8,360.0,215,4615,14.0,"1970-01-01","USA"
"chevy c20",10.0,8,307.0,200,4376,15.0,"1970-01-01","USA"
"dodge d200",11.0,8,318.0,210,4382,13.5,"1970-01-01","USA"
"hi 1200d",9.0,8,304.0,193,4732,18.5,"1970-01-01","USA"
"chevrolet vega 2300",28.0,4,140.0,90,2264,15.5,"1971-01-01","USA"
"ford pinto",25.0,4,98.0,NA,2046,19.0,"1971-01-01","USA"
"amc gremlin",19.0,6,232.0,100,2634,13.0,"1971-01-01","USA"
"plymouth satellite custom",16.0,6,225.0,105,3439,15.5,"1971-01-01","USA"
"chevrolet chevelle malibu",17.0,6,250.0,100,3329,15.5,"1971-01-01","USA"
"ford torino 500",19.0,6,250.0,88,3302,15.5,"1971-01-01","USA"
"amc matador",18.0,6,232.0,100,3288,15.5,"1971-01-01","USA"
"chevrolet impala",14.0,8,350.0,165,4209,12.0,"1971-01-01","USA"
"pontiac catalina brougham",14.0,8,400.0,175,4464,11.5,"1971-01-01","USA"
"ford galaxie 500",14.0,8,351.0,153,4154,13.5,"1971-01-01","USA"
"plymouth fury iii",14.0,8,318.0,150,4096,13.0,"1971-01-01","USA"
"dodge monaco (sw)",12.0,8,383.0,180,4955,11.5,"1971-01-01","USA"
"ford country squire (sw)",13.0,8,400.0,170,4746,12.0,"1971-01-01","USA"
"pontiac safari (sw)",13.0,8,400.0,175,5140,12.0,"1971-01-01","USA"
"amc hornet sportabout (sw)",18.0,6,258.0,110,2962,13.5,"1971-01-01","USA"
"chevrolet vega (sw)",22.0,4,140.0,72,2408,19.0,"1971-01-01","USA"
"pontiac firebird",19.0,6,250.0,100,3282,15.0,"1971-01-01","USA"
"ford mustang",18.0,6,250.0,88,3139,14.5,"1971-01-01","USA"
"mercury capri 2000",23.0,4,122.0,86,2220,14.0,"1971-01-01","USA"
"plymouth cricket",26.0,4,91.0,70,1955,20.5,"1971-01-01","USA"
"dodge colt hardtop",25.0,4,97.5,80,2126,17.0,"1972-01-01","USA"
"chevrolet vega",20.0,4,140.0,90,2408,19.5,"1972-01-01","USA"
"ford pinto runabout",21.0,4,122.0,86,2226,16.5,"1972-01-01","USA"
"chevrolet impala",13.0,8,350.0,165,4274,12.0,"1972-01-01","USA"
"pontiac catalina",14.0,8,400.0,175,4385,12.0,"1972-01-01","USA"
"plymouth fury iii",15.0,8,318.0,150,4135,13.5,"1972-01-01","USA"
"ford galaxie 500",14.0,8,351.0,153,4129,13.0,"1972-01-01","USA"
"amc ambassador sst",17.0,8,304.0,150,3672,11.5,"1972-01-01","USA"
"mercury marquis",11.0,8,429.0,208,4633,11.0,"1972-01-01","USA"
